Episode,Winrate
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,100.0
8,100.0
9,100.0
10,100.0
11,100.0
12,91.66666666666666
13,92.3076923076923
14,92.85714285714286
15,93.33333333333333
16,93.75
17,88.23529411764706
18,88.88888888888889
19,89.47368421052632
20,90.0
21,90.47619047619048
22,90.9090909090909
23,86.95652173913044
24,83.33333333333334
25,84.0
26,84.61538461538461
27,85.18518518518519
28,82.14285714285714
29,82.75862068965517
30,83.33333333333334
31,83.87096774193549
32,84.375
33,84.84848484848484
34,82.35294117647058
35,80.0
36,80.55555555555556
37,81.08108108108108
38,81.57894736842105
39,82.05128205128204
40,82.5
41,82.92682926829268
42,80.95238095238095
43,81.3953488372093
44,81.81818181818183
45,82.22222222222221
46,82.6086956521739
47,82.97872340425532
48,83.33333333333334
49,83.6734693877551
50,84.0
