Episode,Winrate
1,0.0
2,50.0
3,66.66666666666666
4,75.0
5,60.0
6,50.0
7,42.857142857142854
8,37.5
9,33.33333333333333
10,30.0
11,36.36363636363637
12,33.33333333333333
13,38.46153846153847
14,35.714285714285715
15,33.33333333333333
16,37.5
17,35.294117647058826
18,33.33333333333333
19,36.84210526315789
20,35.0
21,38.095238095238095
22,40.909090909090914
23,39.130434782608695
24,41.66666666666667
25,40.0
26,42.30769230769231
27,40.74074074074074
28,39.285714285714285
29,37.93103448275862
30,36.666666666666664
31,38.70967741935484
32,40.625
33,42.42424242424242
34,44.11764705882353
35,45.714285714285715
36,44.44444444444444
37,45.94594594594595
38,47.368421052631575
39,46.15384615384615
40,47.5
41,48.78048780487805
42,50.0
43,48.837209302325576
44,47.72727272727273
45,46.666666666666664
46,45.65217391304348
47,46.808510638297875
48,47.91666666666667
49,46.93877551020408
50,46.0
51,45.09803921568628
52,46.15384615384615
53,47.16981132075472
54,46.2962962962963
55,45.45454545454545
56,44.642857142857146
57,43.859649122807014
58,44.827586206896555
59,45.76271186440678
60,45.0
61,45.90163934426229
62,45.16129032258064
63,44.44444444444444
64,43.75
65,43.07692307692308
66,43.93939393939394
67,43.28358208955223
68,44.11764705882353
69,43.47826086956522
70,42.857142857142854
71,43.66197183098591
72,43.05555555555556
73,42.465753424657535
74,41.891891891891895
75,42.66666666666667
76,42.10526315789473
77,42.857142857142854
78,42.30769230769231
79,43.037974683544306
80,42.5
81,43.20987654320987
82,42.68292682926829
83,42.168674698795186
84,42.857142857142854
85,42.35294117647059
86,41.86046511627907
87,42.5287356321839
88,43.18181818181818
89,42.69662921348314
90,43.333333333333336
91,42.857142857142854
92,43.47826086956522
93,43.01075268817204
94,43.61702127659575
95,43.15789473684211
96,42.70833333333333
97,42.2680412371134
98,42.857142857142854
99,43.43434343434344
100,43.0
